1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,1
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,1
29,0
30,0
31,0
32,1
33,1
34,0
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,1
43,1
44,1
45,1
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,1
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,1
95,0
96,0
97,1
98,0
99,1
100,0
101,0
102,1
103,0
104,0
105,1
106,1
107,1
108,0
109,0
110,1
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,1
134,0
135,0
136,1
137,0
138,1
139,0
140,0
141,1
142,0
143,0
144,0
145,1
146,0
147,0
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,0
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,1
174,0
175,0
176,1
177,0
178,1
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,0
198,1
199,0
200,0
201,1
202,0
203,1
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,0
212,0
213,1
214,1
215,1
216,0
217,1
218,1
219,0
220,1
221,1
222,0
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,1
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,0
241,0
242,0
243,1
244,0
245,0
246,1
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,0
268,0
269,0
270,0
271,0
272,1
273,0
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,0
